modelo;n;MAE_medio;RMSE_medio;MAPE_medio
ARIMA Simples;66;9.814980166990708;12.001431588164197;57.84064039402267
Media Movel (7 dias);66;12.27012987012987;14.125799747283297;66.56683250840707
SARIMA Mensal (m=30);66;9.861911856050805;12.054807894513225;58.26275479344129
Suavizacao Exponencial;66;10.511429395045889;12.778872182637114;61.89271360076028
