sku;arima_order;sarima_order;sarima_seasonal_order;sarima_PDQ_todos_zeros;aic_arima;aic_sarima;previsoes_arima_sarima_identicas;max_abs_diff_previsao_arima_sarima;rmse_entre_vetores_previsao_arima_sarima;teste_constante;cv_teste;range_teste
791680;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;808.3755704846985;808.3755704846985;True;0.0;0.0;False;11.064537726585788;1.0
790875;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;798.7632077833813;798.7632077833813;True;0.0;0.0;False;11.283697418075466;2.0
792510;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;908.2311853588785;908.2311853588785;True;0.0;0.0;True;0.0;0.0
7266;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1236.3701211564976;1236.3701211564976;True;0.0;0.0;True;0.0;0.0
0902-1;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;-662.8105092808238;-662.8105092808238;True;0.0;0.0;True;0.0;0.0
2976;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1693.8603535247012;1693.8603535247012;True;0.0;0.0;False;10.811746717357963;6.0
790708;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;2743.045323459414;2743.045323459414;True;0.0;0.0;False;2.6360597388028517;2.0
MK181;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;147.5022991669863;147.5022991669863;True;0.0;0.0;True;0.0;0.0
Mk231;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;629.7617693399136;629.7617693399136;True;0.0;0.0;True;0.0;0.0
2971;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1795.2200963144069;1795.2200963144069;True;0.0;0.0;True;0.0;0.0
1176-2;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;-930.8664707852502;-930.8664707852502;True;0.0;0.0;True;0.0;0.0
1354-2;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;-1262.8881589126909;-1262.8881589126909;True;0.0;0.0;True;0.0;0.0
2857;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1053.6950615682363;1053.6950615682363;True;0.0;0.0;True;0.0;0.0
792528;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1146.6957924977182;1146.6957924977182;True;0.0;0.0;False;8.461117085036191;2.0
811076;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;3780.992756186415;3780.992756186415;True;0.0;0.0;False;29.635363169293754;60.0
2080;(0, 2, 1);(0, 2, 1);(0, 0, 0, 30);True;363.9878369880083;363.9878369880083;True;0.0;0.0;True;0.0;0.0
791840;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1596.7390900360413;1596.7390900360413;True;0.0;0.0;False;20.22480970283365;3.0
899507;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;3127.340379680822;3127.340379680822;True;0.0;0.0;False;18.655952336587355;30.0
MK425;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1179.9520470780396;1179.9520470780396;True;0.0;0.0;True;0.0;0.0
MK402;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;669.5172938140998;669.5172938140998;True;0.0;0.0;False;12.060903615410249;1.0
899551;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;2160.2312822892404;2160.2312822892404;True;0.0;0.0;False;11.50711923564922;10.0
792427;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;2398.3443406300767;2398.3443406300767;True;0.0;0.0;False;2.101854248149515;3.0
2817;(0, 1, 0);(0, 1, 0);(0, 0, 2, 30);False;1955.5233290924637;1949.9762099169138;False;0.3514145588200135;0.19655315039491986;True;0.0;0.0
MK421;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1740.0131480386785;1740.0131480386785;True;0.0;0.0;True;0.0;0.0
MK416;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;479.5197986474117;479.5197986474117;True;0.0;0.0;True;0.0;0.0
MK360;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1815.7913830305945;1815.7913830305945;True;0.0;0.0;False;42.40478763000631;3.0
7460;(1, 0, 0);(1, 0, 0);(0, 0, 0, 30);True;4197.315025719923;4197.315025719923;True;0.0;0.0;False;32.370163752767425;92.0
MK405;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;2970.3653304081977;2970.3653304081977;True;0.0;0.0;False;105.59601638533765;14.0
MK380;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;3042.312504586753;3042.312504586753;True;0.0;0.0;False;13.532827979535794;26.0
790694;(2, 1, 2);(0, 1, 0);(0, 0, 0, 30);True;2952.0343666512895;2952.818738009092;False;6.772307792832389;4.115158062986326;False;4.230558542518096;1.0
